"REC" "FRE" "MON" "CC_CARD" "AVRG" "PC_CALC20" "PSWEATERS" "PKNIT_TOPS" "PKNIT_DRES" "PBLOUSES" "PJACKETS" "PCAR_PNTS" "PCAS_PNTS" "PSHIRTS" "PDRESSES" "PSUITS" "POUTERWEAR" "PJEWELRY" "PFASHION" "PLEGWEAR" "PCOLLSPND" "AMSPEND" "PSSPEND" "CCSPEND" "AXSPEND" "OMONSPEND" "PREVPD" "GMP" "PROMOS" "DAYS" "FREDAYS" "MARKDOWN" "CLASSES" "COUPONS" "STYLES" "STORES" "STORELOY" "VALPHON" "WEB" "MAILED" "RESPONDED" "RESPONSERATE" "LTFREDAY" "CLUSTYPE" "PERCRET" "RESP" "hi_trans" "amount23" "amount456"
32 1 212.97 0 212.97 11 0 0.06 0 0.24 0.32 0.27 0 0.08 0 0 0 0 0 0 0.6 0 0 212.97 0 0 0 0.56 0 32 32 0.26 5 0 6 1 37 "Y" 0 0 0 0 16 8 0 0 4.13099787987014 212.97 0
169 3 1595.67 1 531.89 11 0.09 0.06 0 0.1 0.18 0.07 0.04 0.17 0.11 0 0 0.007834 0.14 0 0.1 0 0 1595.67 0 0 0 0.61 21 511 170.33 0.17 15 1 42 3 202 "Y" 1 8 2 25 39.3 5 0 1 2.62900699376176 0 820.73
75 13 911.21 1 70.09 11 0.15 0.03 0.06 0.05 0.13 0 0 0.11 0.05 0.11 0 0.008502 0.01 0.02 0.08 0 0 911.21 0 0 58.5 0.61 20 656 50.46 0.15 14 0 28 1 4579 "Y" 0 9 5 55.56 18.74 10 0.29 0 2.16561923792089 42.99 271.99
14 15 519.02 1 34.6 16 0.3 0.01 0 0.01 0 0.09 0.2 0.13 0.09 0 0 0 0 0.08 0 0 400.38 118.64 0 15.98 36.75 0.21 16 653 43.53 0.36 11 3 31 3 2932 "Y" 0 10 7 70 7.77 23 0.05 0 2.88424189752063 82.96 245.7
321 1 108 0 108 11 0.45 0 0 0 0 0 0 0.54 0 0 0 0 0 0 0 0 0 108 0 0 108 0.68 7 321 321 0 2 0 2 1 1649 "Y" 0 2 0 0 160.5 3 0 0 3.92038792175977 0 0
15 7 458.95 0 65.56 16 0.34 0 0 0.06 0 0.35 0 0 0.12 0 0 0 0 0 0.11 0 294.96 149 14.99 14.99 123 0.6 17 359 51.28 0.1 6 1 13 5 2790 "Y" 0 6 3 50 23.93 15 0.12 1 3.32251485962769 47.99 123.97
11 7 131.59 0 18.79 16 0 0.02 0 0 0.13 0.21 0.18 0 0.05 0 0 0 0.04 0 0 0 64.63 56.97 9.99 12 9.99 0.31 15 678 96.85 0.4 11 2 15 5 2845 "Y" 0 8 3 37.5 39.88 10 2.11 0 2.72129542785223 0 29.99
14 9 831.84 1 92.42 11 0.25 0.02 0.01 0.19 0 0.05 0 0.09 0.05 0.13 0 0.01 0.11 0 0.05 0 0 647.37 184.47 70.49 126.99 0.54 29 577 64.11 0.22 15 3 33 4 73 "Y" 0 9 6 66.67 23.08 1 0.03 0 2.73566536813518 0 523.61
344 1 126.75 0 126.75 11 0.57 0 0.42 0 0 0 0 0 0 0 0 0 0 0 0 0 0 126.75 0 0 0 0.5 21 509 509 0.25 2 0 4 2 242 "Y" 0 10 1 10 101.8 1 0 0 3.93358878334271 0 0
173 1 239.96 0 239.96 11 0.09 0.12 0 0 0.46 0.31 0 0 0 0 0 0 0 0 0 0 0 239.96 0 0 0 0.4 4 173 173 0.25 4 1 7 1 850 "Y" 0 1 0 0 86.5 22 0 0 3.5313480661272 0 239.96
12 2 419 0 209.5 11 0 0 0 0.18 0.51 0.3 0 0 0 0 0 0 0 0 0 0 0 419 0 215 0 0.68 15 579 289.5 0 6 0 6 1 4526 "Y" 0 10 1 10 82.71 10 0 0 3.66330520299451 204 0
5 11 826.24 1 75.11 16 0.11 0 0.04 0 0.1 0 0 0.12 0.23 0.09 0 0 0 0 0.06 0 769.84 56.4 0 213.16 0 0.54 13 516 46.9 0.24 9 5 25 4 2730 "Y" 0 8 4 50 17.79 16 0.37 0 2.42036812865043 292.59 135.54
231 2 159.95 1 79.97 11 0.16 0 0 0 0 0 0.65 0 0 0 0 0 0 0 0 0 0 159.95 0 0 0 0.42 14 267 133.5 0.29 3 1 6 2 669 "Y" 0 4 0 0 133.5 23 0.21 0 3.81065451103986 0 0
63 10 1197.91 1 119.79 11 0.1 0.01 0 0.07 0.24 0.06 0.02 0.08 0 0.07 0.1 0 0.04 0.00632 0 0 59 1125.42 13.49 0 291.71 0.61 21 670 67 0.19 17 3 29 6 105 "Y" 0 8 3 37.5 19.7 38 0.18 1 2.35612585992208 0 613.21
217 7 233.99 0 33.42 16 0.02 0 0 0 0.17 0 0 0 0.14 0 0 0 0 0 0 0 216 17.99 0 0 0 0.69 9 304 43.42 0.04 5 0 5 3 1603 "Y" 1 3 0 0 43.42 4 1.94 0 1.61143591509677 0 0
39 3 123.7 1 41.23 11 0.58 0 0 0.19 0 0 0 0 0 0 0 0 0 0 0 0 0 123.7 0 0 0 0.58 8 350 116.66 0.24 3 0 6 1 426 "Y" 0 1 0 0 87.5 11 0.28 1 3.63968920992316 49 0
41 13 2101.88 0 161.68 11 0.35 0.008621 0.05 0.05 0.09 0.04 0.07 0.11 0.15 0 0 0 0.03 0.01 0 0 271.25 1830.63 0 0 0 0.57 18 555 42.69 0.19 18 5 64 4 4640 "N" 0 10 4 40 21.34 4 0 0 2.93651291389402 56.99 1410.68
13 4 105.1 1 26.27 16 0.45 0.14 0 0.07 0 0 0 0 0 0 0 0 0 0 0 0 33.87 71.23 0 21.98 0 0.26 7 295 73.75 0.4 4 0 9 2 2737 "Y" 0 2 1 50 24.58 11 0.47 0 3.16124671203156 0 0
54 3 189.94 0 63.31 16 0.18 0.1 0 0 0 0.25 0.36 0 0 0 0 0 0 0.07 0 0 174.94 15 0 0 0 0.51 13 674 224.66 0.22 6 0 9 2 2758 "Y" 0 3 0 0 51.84 1 0 0 3.24024585060439 49.96 0
56 11 201.52 1 18.32 11 0 0 0 0.12 0 0 0.07 0 0 0 0.42 0 0.06 0 0 0 14.99 186.53 0 0 0 0.32 10 278 25.27 0.44 8 0 11 5 7 "Y" 0 1 1 100 10.29 8 0.46 0 3.02140002030257 0 0
12 2 118.96 0 59.48 16 0 0 0 0.32 0 0 0.33 0.33 0 0 0 0 0 0 0 0 78.98 39.98 0 78.98 0 0.56 0 88 44 0.27 3 0 5 2 2739 "Y" 0 0 0 0 29.33 10 0 0 3.50645789231965 39.98 0
291 5 625.97 0 125.19 16 0.14 0 0 0 0.5 0 0.03 0.04 0.26 0 0 0 0 0 0 0 583.98 41.99 0 0 0 0.64 14 365 73 0.1 5 1 11 4 2719 "N" 0 6 0 0 52.14 22 0 0 3.55990907281698 0 0
215 1 68 1 68 11 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 68 0 0 0 0.54 5 659 659 0.29 1 1 3 1 980 "Y" 0 3 0 0 164.75 15 0 0 4.60517018598809 0 0
19 7 863.61 1 123.37 11 0.12 0.02 0.08 0.06 0.35 0 0 0.16 0.03 0.08 0 0.01 0.03 0 0 0 522.67 240.96 99.98 200.97 283.69 0.62 18 332 47.42 0.07 15 0 21 5 46 "Y" 0 8 3 37.5 18.44 16 0 0 2.95647155960069 0 302.95
5 15 755.9 0 50.39 11 0.17 0.06 0.01 0.05 0.24 0 0.09 0.1 0.06 0 0.15 0 0 0.007938 0 0 0 755.9 0 61.98 105.97 0.33 18 587 39.13 0.39 14 1 32 1 4585 "Y" 0 8 4 50 11.5 20 0 0 2.71931979336044 17.99 56.99
154 2 241.2 0 120.6 19 0.39 0 0 0 0.21 0 0.38 0 0 0 0 0 0 0 0 0 0 98 143.2 0 0 0.54 22 697 348.5 0.21 5 0 10 2 1615 "N" 0 9 1 11.11 69.7 8 0 0 3.56501546689155 0 98
12 15 2000.98 1 133.39 16 0.48 0.02 0.04 0.01 0.12 0.05 0.05 0.02 0.08 0 0 0 0.008057 0 0 0 1844.57 156.41 0 207 93 0.61 15 688 45.86 0.18 13 7 67 5 1638 "Y" 0 7 4 57.14 14.04 11 0.08 1 3.28802868355652 578.77 232
91 1 69.47 0 69.47 11 0.28 0.13 0 0 0 0 0 0.57 0 0 0 0 0 0 0 0 0 69.47 0 0 0 0.55 1 531 531 0.31 3 0 4 1 4584 "Y" 0 1 0 0 265.5 35 0 0 3.76745955423679 0 69.47
296 1 89.97 0 89.97 11 0 0 0 0.22 0.44 0 0.33 0 0 0 0 0 0 0 0 0 0 89.97 0 0 0 0.41 11 664 664 0 3 0 3 1 122 "N" 0 9 0 0 221.33 4 0 0 3.57794789340665 0 0
334 2 146.5 0 73.25 16 0.26 0 0 0 0.53 0 0 0 0 0 0 0.16 0 0.03 0 0 118 28.5 0 0 0 0.63 10 373 186.5 0.06 4 0 4 2 2645 "N" 0 4 0 0 124.33 10 0 0 3.66202199994405 0 0
180 1 99 0 99 11 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 99 0 0 0 0.7 2 459 459 0 1 0 1 1 858 "Y" 0 4 0 0 114.75 38 0 0 5.29831736654804 0 99
348 1 170.08 1 170.08 11 0 0.1 0 0 0 0 0 0 0.21 0.68 0 0 0 0 0 0 35.99 134.09 0 0 0 0.48 17 348 348 0.25 3 0 3 2 149 "Y" 0 5 0 0 174 4 0 0 3.96651119071222 0 0
168 2 10 0 5 19 0 0 0 0 0 0 0 0 0 0 0 0.33 0 0 0 0 0 10 0 0 0 0.71 11 639 319.5 0 2 0 2 1 4202 "Y" 0 3 0 0 58.09 38 2 0 2.40784560365154 0 0
236 4 448.21 1 112.05 11 0.26 0 0 0.13 0.35 0.13 0.08 0 0 0 0 0 0 0.03 0.13 0 71.74 376.47 0 0 0 0.5 18 649 162.25 0.29 7 2 17 2 642 "Y" 0 9 0 0 40.56 16 0 0 3.23435539571659 0 0
332 1 99 0 99 11 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 99 0 0 99 0.69 19 681 681 0 1 0 1 1 999 "Y" 0 9 1 11.11 97.28 12 0 0 4.60517018598809 0 0
14 4 163.96 1 40.99 11 0.21 0 0.4 0.08 0 0 0.03 0 0 0 0 0 0 0.02 0 0 0 163.96 0 93 0 0.36 18 690 172.5 0.27 8 1 10 2 154 "Y" 0 10 2 20 49.28 10 0.29 0 3.09693415406296 0 0
52 1 107.96 0 107.96 11 0.11 0 0 0.22 0.44 0.22 0 0 0 0 0 0 0 0 0 0 0 107.96 0 0 0 0.27 0 52 52 0.4 4 0 4 1 29 "Y" 0 0 0 0 26 2 0 0 3.42946084693501 107.96 0
219 1 145 0 145 16 0.5 0 0 0.27 0 0 0 0.22 0 0 0 0 0 0 0 0 90 55 0 0 0 0.08 4 219 219 0.49 5 0 10 2 2829 "N" 0 2 0 0 109.5 1 0 0 3.62780160460535 0 0
118 5 1671.45 0 334.29 11 0.07 0 0 0.08 0.43 0.09 0.02 0.09 0.02 0 0.08 0.03 0.03 0 0.02 0 0 1671.45 0 0 402.96 0.64 19 430 86 0.09 20 0 34 1 595 "Y" 0 6 1 16.67 39.09 12 0 1 3.13462427242061 0 174
87 5 236.32 1 47.26 11 0.11 0 0 0.26 0.39 0 0 0 0 0 0 0 0 0 0 0 0 236.32 0 0 0 0.26 17 642 128.4 0.35 6 0 15 3 464 "Y" 0 9 0 0 35.66 11 0.29 1 3.17094529111065 74.88 0
7 11 267.4 1 24.3 11 0.03 0 0 0.07 0.17 0.07 0 0.04 0 0 0 0.09 0.01 0 0 0 0 249.43 17.97 82.98 0 0.35 13 669 60.81 0.33 13 0 24 4 460 "Y" 0 3 1 33.33 19.67 21 0.97 1 1.67335123817775 16.96 167.46
70 6 360.93 1 60.15 11 0.23 0 0 0.08 0.13 0.07 0.08 0 0 0 0 0 0.03 0.35 0 135.97 0 224.96 0 0 0 0.42 19 691 115.16 0.24 10 0 20 2 483 "Y" 0 8 4 50 30.04 16 0 0 3.07823349506573 64.98 199.95
226 1 147 0 147 18 0 0 0 0 0.59 0.4 0 0 0 0 0 0 0 0 0 88 0 59 0 0 0 0.66 5 226 226 0 2 0 2 2 3899 "Y" 0 1 0 0 113 24 0 0 3.9500892062346 0 0
215 3 346.47 0 115.49 11 0.61 0 0 0 0.07 0.07 0.07 0 0 0 0 0.16 0 0 0 0 0 346.47 0 0 0 0.44 12 353 117.66 0.29 6 0 16 1 4594 "Y" 0 4 0 0 117.66 38 0 0 3.75020970926554 0 0
42 8 332.95 0 41.61 11 0.23 0 0 0 0.1 0 0.1 0 0 0.36 0 0 0.03 0 0 0 0 332.95 0 0 0 0.39 7 677 84.62 0.33 7 0 11 4 125 "Y" 1 1 0 0 67.7 24 0.18 0 3.06152001409199 143.98 133.97
49 3 504.29 1 168.09 11 0.21 0 0 0.04 0.37 0 0.15 0 0.21 0 0 0 0 0 0.31 0 0 504.29 0 0 258.3 0.63 16 328 109.33 0.12 7 0 11 1 4736 "Y" 1 6 0 0 32.8 32 0 0 3.57009591812397 93.99 152
279 1 303.97 0 303.97 16 0 0 0 0 0.29 0 0 0.19 0.46 0 0 0 0 0.04 0 0 218.98 84.99 0 0 0 0.65 13 279 279 0.009773 4 0 7 2 2853 "Y" 0 10 0 0 93 16 0 0 3.52577211624379 0 0
261 3 456.93 1 152.31 11 0.34 0 0 0 0.05 0.22 0 0 0 0 0.27 0 0 0.1 0 0 0 456.93 0 0 215.24 0.47 24 642 214 0.3 5 1 14 1 4582 "Y" 0 8 1 12.5 32.1 4 0 1 3.25269737334371 0 0
174 2 117.43 0 58.71 11 0.41 0 0 0.1 0 0.24 0 0 0 0 0 0 0 0.04 0 0 0 117.43 0 0 0 0.48 12 678 339 0.08 4 0 7 1 102 "Y" 0 3 0 0 75.33 8 0.25 0 3.1904763503465 0 119.84
5 17 1197.22 1 70.42 18 0.11 0.0071 0.02 0.14 0.11 0.12 0.05 0.05 0 0 0 0.006149 0.01 0 0.03 1075.23 19.99 102 0 212.99 29.99 0.58 17 680 40 0.11 17 2 42 6 3745 "Y" 0 9 4 44.44 14.46 1 0.52 1 1.94304891677428 56.07 529.23
256 4 481.96 0 120.49 11 0.32 0 0 0 0 0.23 0.07 0 0.14 0 0 0 0.01 0.02 0 0 0 481.96 0 0 0 0.6 18 373 93.25 0.16 7 0 16 3 43 "Y" 0 6 0 0 46.62 18 0.22 0 2.9274534328007 0 0
42 9 1144.6 0 127.17 16 0.39 0 0.05 0 0 0.04 0.05 0.04 0.09 0.29 0 0 0 0.005242 0 0 1138.6 6 0 0 286.48 0.52 15 575 63.88 0.23 10 1 32 4 2956 "Y" 0 10 3 30 28.75 28 0 0 3.2722270003652 39 352.23
64 1 97.98 0 97.98 11 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 97.98 0 0 0 0.44 12 473 473 0.3 1 0 2 1 4676 "Y" 0 8 0 0 78.83 8 0 1 4.60517018598809 97.98 0
5 5 647.24 1 129.44 11 0.02 0.04 0.41 0.12 0.2 0.06 0.02 0.02 0 0 0 0 0.06 0 0 0 71.33 575.91 0 249.8 0 0.23 13 694 138.8 0.44 14 1 35 2 364 "Y" 0 6 2 33.33 25.7 25 0 0 3.17513290192028 0 0
45 3 145.97 0 48.65 16 0.12 0.14 0.39 0 0 0 0 0.33 0 0 0 0 0 0 0 0 124.99 20.98 0 0 0 0.61 2 270 90 0.12 4 0 6 2 2843 "Y" 0 0 0 0 90 15 0 0 3.42230634487239 124.99 0
27 7 365.85 1 52.26 16 0.4 0 0 0.15 0.13 0 0 0.25 0 0 0 0 0.05 0 0 0 217.91 147.94 0 32.5 0 0.27 13 405 57.85 0.3 8 1 18 2 3041 "Y" 0 3 1 33.33 12.65 10 0 0 3.31017798327499 31.98 99.96
12 3 214.14 1 71.38 11 0 0 0 0 0.08 0 0 0.23 0.57 0 0 0 0.05 0.05 0.08 0 0 214.14 0 62.49 0 0.52 4 172 57.33 0.29 5 2 8 1 77 "Y" 0 1 1 100 21.5 10 0 0 3.69262244039277 0 151.65
62 3 824.94 0 274.98 16 0.03 0 0.04 0.17 0.32 0.05 0.1 0.05 0.13 0 0 0.01 0 0.01 0.11 0 799.94 25 0 0 0 0.62 0 366 122 0.09 10 0 20 2 2678 "N" 0 0 0 0 73.2 15 0.04 0 2.91506437048654 139.96 684.98
29 4 107.21 0 26.8 16 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 74.22 32.99 0 15 0 0.27 5 271 67.75 0.38 2 0 6 2 2611 "N" 0 0 0 0 67.75 10 0 0 4.60517018598809 44.97 0
251 1 98 0 98 11 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 98 0 0 0 0.58 3 251 251 0.27 1 0 4 1 4586 "Y" 0 1 0 0 251 1 0 0 4.60517018598809 0 0
143 5 647.49 0 129.49 11 0.63 0 0 0 0 0.17 0 0.08 0 0 0 0 0.01 0 0.16 0 0 647.49 0 0 0 0.66 5 264 52.8 0.07 4 0 17 1 290 "Y" 0 1 0 0 26.4 16 0.09 0 3.85290974093564 0 416.99
172 6 677.06 1 112.84 11 0.45 0 0.04 0.05 0.14 0.18 0 0 0 0 0 0 0.1 0.01 0.14 0 0 677.06 0 0 38.99 0.59 22 558 93 0.2 10 3 20 1 3 "Y" 0 9 3 33.33 42.92 4 0 0 3.39215663701001 0 171
285 2 461.97 0 230.98 11 0.05 0 0.04 0 0.34 0.08 0 0 0.17 0 0.3 0 0 0 0.38 0 0 461.97 0 0 0 0.55 12 306 153 0.26 7 0 7 1 830 "Y" 0 4 0 0 102 38 0 0 3.68762867221228 0 0
12 13 742.75 1 57.13 18 0.12 0.09 0.01 0.03 0.17 0.23 0 0.01 0.01 0 0 0.03 0.17 0.004295 0 331.39 0 51.5 359.86 46.97 47.63 0.44 22 617 47.46 0.23 19 1 36 5 3911 "Y" 0 9 4 44.44 13.71 3 0.05 0 2.70068984669592 48.56 453.89
51 3 478.73 1 159.57 16 0.02 0 0.11 0.02 0.31 0.08 0 0.21 0 0 0 0 0 0 0.32 0 465.24 13.49 0 0 0 0.58 1 56 18.66 0.23 9 1 15 2 2834 "Y" 0 0 0 0 4.66 40 0.3 1 3.30395199722332 478.73 0
123 3 158.47 0 52.82 11 0.31 0.09 0 0 0 0 0.09 0 0.3 0 0 0 0 0 0 0 0 158.47 0 0 0 0.5 5 430 143.33 0.3 4 0 9 2 242 "N" 0 0 0 0 107.5 10 0.23 0 3.05447276857659 0 158.47
26 5 149.94 0 29.98 18 0.26 0.09 0 0.13 0 0 0.25 0 0.23 0 0 0 0 0.01 0 75 0 74.94 0 75 0 0.21 3 287 57.4 0.4 7 0 9 4 3822 "Y" 0 0 0 0 16.88 24 0 1 3.07546724157284 0 19.99
7 7 695.91 0 99.41 11 0.46 0.03 0.37 0 0 0 0 0 0.04 0 0 0 0 0.08 0 0 82 438.99 174.92 274.99 0 0.59 5 243 34.71 0.14 8 0 26 4 3 "Y" 1 2 1 50 10.56 11 0 1 3.60004824040732 0 12
